wavelet_based_(co)spectra
--------------------------------------------------------------
TIMESTAMP_START = 2022-05-13 19:30:00
TIMESTAMP_END = 2022-05-13 19:59:59.950000
N: 36000
TIME_BUFFER [min] = 495.0
frequency [Hz]
y-axis_->_wavelet_coefficient_*_
mother_wavelet -> dwt
acquisition_frequency [Hz] = 20.0
averaging_interval [Min] = 30
variable,natural_frequency,value
co2D_var,,1.2933722027934413
co2D_var_qc,,0.9998333333333334
co2T_var,,156506.4745706996
co2T_var_qc,,0.9998333333333334
co2_nfb,,
co2_var,,1.487219190826817
co2_var_qc,,0.9998333333333334
h2oD_var,,0.08735526799443173
h2oD_var_qc,,0.9996944444444444
h2oT_var,,105.24766837026327
h2oT_var_qc,,0.9996944444444444
h2o_nfb,,
h2o_var,,0.08768561901738518
h2o_var_qc,,0.9996944444444444
w/co2D_cov,,-0.03303803907517729
w/co2D_cov_qc,,0.00016666666666666666
w/co2T_cov,,-0.003366497473290655
w/co2T_cov_qc,,0.00016666666666666666
w/co2_cov,,-0.03640453654846673
w/co2_cov_qc,,0.00016666666666666666
wD/co2D_cov,,-0.03282648833785426
wD/co2D_cov_qc,,0.00016666666666666666
wD/co2_cov,,-0.03666156168063192
wD/co2_cov_qc,,0.00016666666666666666
wD_var,,0.022792249746940964
wD_var_qc,,1.0
wT/co2T_cov,,-0.26803809138672074
wT/co2T_cov_qc,,0.00016666666666666666
wT/co2_cov,,0.00025702513216519033
wT/co2_cov_qc,,0.00016666666666666666
wT_var,,5.792801633294306e-07
wT_var_qc,,1.0
w_nfb,,
w_var,,0.02278633674116636
w_var_qc,,1.0
wco2,,-0.03282445280844184
wco2+wh2o+,,0.0030339833428838794
wco2+wh2o+,10.0,0.00030518874922639817
wco2+wh2o+,0.01953125,6.0901901403726616e-05
wco2+wh2o+,0.009765625,0.00010494408254576345
wco2+wh2o+,0.0048828125,4.254015933194136e-05
wco2+wh2o+,0.00244140625,1.7936846288268647e-06
wco2+wh2o+,0.001220703125,7.363885889030427e-05
wco2+wh2o+,0.0006103515625,0.0
wco2+wh2o+,0.00030517578125,0.0
wco2+wh2o+,0.000152587890625,0.0
wco2+wh2o+,7.62939453125e-05,0.0
wco2+wh2o+,3.814697265625e-05,0.12200892144894848
wco2+wh2o+,5.0,0.0005852582813613159
wco2+wh2o+,2.5,0.0007945720315853808
wco2+wh2o+,1.25,0.0003447480881425018
wco2+wh2o+,0.625,0.00010611221811041167
wco2+wh2o+,0.3125,0.0001381714291327608
wco2+wh2o+,0.15625,0.0003488262535470613
wco2+wh2o+,0.078125,6.99900476307846e-05
wco2+wh2o+,0.0390625,5.7297557346701645e-05
wco2+wh2o+_qc,,0.00016666666666666666
wco2+wh2o-,,0.01994413637498386
wco2+wh2o-,10.0,0.0003188659518835019
wco2+wh2o-,0.01953125,0.0007898790452052759
wco2+wh2o-,0.009765625,0.0002938769341766318
wco2+wh2o-,0.0048828125,0.0018237973377503343
wco2+wh2o-,0.00244140625,0.0002556078177200244
wco2+wh2o-,0.001220703125,0.001705257839948464
wco2+wh2o-,0.0006103515625,0.00014340736308510716
wco2+wh2o-,0.00030517578125,0.0008912856638354207
wco2+wh2o-,0.000152587890625,0.0
wco2+wh2o-,7.62939453125e-05,0.001718539021894687
wco2+wh2o-,3.814697265625e-05,0.0
wco2+wh2o-,5.0,0.00038120135019659585
wco2+wh2o-,2.5,0.0008095424112891483
wco2+wh2o-,1.25,0.0019238966271425538
wco2+wh2o-,0.625,0.002185675424906059
wco2+wh2o-,0.3125,0.0028763840698581324
wco2+wh2o-,0.15625,0.002620134121258481
wco2+wh2o-,0.078125,0.0026689340235058886
wco2+wh2o-,0.0390625,0.001147676057057663
wco2+wh2o-_qc,,0.00016666666666666666
wco2+wh2o·,,0.0
wco2+wh2o·,10.0,0.0
wco2+wh2o·,0.01953125,0.0
wco2+wh2o·,0.009765625,0.0
wco2+wh2o·,0.0048828125,0.0
wco2+wh2o·,0.00244140625,0.0
wco2+wh2o·,0.001220703125,0.0
wco2+wh2o·,0.0006103515625,0.0
wco2+wh2o·,0.00030517578125,0.0
wco2+wh2o·,0.000152587890625,0.0
wco2+wh2o·,7.62939453125e-05,0.0
wco2+wh2o·,3.814697265625e-05,0.0
wco2+wh2o·,5.0,0.0
wco2+wh2o·,2.5,0.0
wco2+wh2o·,1.25,0.0
