wavelet_based_(co)spectra
--------------------------------------------------------------
TIMESTAMP_START = 2022-05-13 14:30:00
TIMESTAMP_END = 2022-05-13 14:59:59.950000
N: 36000
TIME_BUFFER [min] = 495.0
frequency [Hz]
y-axis_->_wavelet_coefficient_*_
mother_wavelet -> dwt
acquisition_frequency [Hz] = 20.0
averaging_interval [Min] = 30
variable,natural_frequency,value
co2D_var,,12.587048711351235
co2D_var_qc,,0.9998888888888889
co2T_var,,158855.38806743803
co2T_var_qc,,0.9998888888888889
co2_nfb,,
co2_var,,12.53984567954857
co2_var_qc,,0.9998888888888889
h2oD_var,,0.42593476004077657
h2oD_var_qc,,0.9998055555555555
h2oT_var,,84.78988643843257
h2oT_var_qc,,0.9998055555555555
h2o_nfb,,
h2o_var,,0.41927437036802995
h2o_var_qc,,0.9998055555555555
w/co2D_cov,,-0.6305066046218941
w/co2D_cov_qc,,0.00011111111111111112
w/co2T_cov,,0.0036720894785613576
w/co2T_cov_qc,,0.00011111111111111112
w/co2_cov,,-0.6268345151433375
w/co2_cov_qc,,0.00011111111111111112
wD/co2D_cov,,-0.6300248484251172
wD/co2D_cov_qc,,0.00011111111111111112
wD/co2_cov,,-0.6265803328577193
wD/co2_cov_qc,,0.00011111111111111112
wD_var,,0.14291113240537567
wD_var_qc,,1.0
wT/co2T_cov,,-1.7596993381518773
wT/co2T_cov_qc,,0.00011111111111111112
wT/co2_cov,,-0.0002541822856181116
wT/co2_cov_qc,,0.00011111111111111112
wT_var,,3.549378629794771e-05
wT_var_qc,,1.0
w_nfb,,
w_var,,0.142964644501389
w_var_qc,,1.0
wco2,,-0.6218740914847344
wco2+wh2o+,,0.013586489273281823
wco2+wh2o+,10.0,0.001789793294769124
wco2+wh2o+,0.01953125,6.34300495744945e-05
wco2+wh2o+,0.009765625,2.0538532700941798e-05
wco2+wh2o+,0.0048828125,2.847104354811977e-06
wco2+wh2o+,0.00244140625,0.00019261311754965795
wco2+wh2o+,0.001220703125,5.393108788278523e-07
wco2+wh2o+,0.0006103515625,0.00010654774661115637
wco2+wh2o+,0.00030517578125,3.5853814570299735e-07
wco2+wh2o+,0.000152587890625,4.927352494021832e-05
wco2+wh2o+,7.62939453125e-05,5.458903645256933e-05
wco2+wh2o+,3.814697265625e-05,0.041426490481122465
wco2+wh2o+,5.0,0.005276966832600347
wco2+wh2o+,2.5,0.003300726501914461
wco2+wh2o+,1.25,0.000559645763846895
wco2+wh2o+,0.625,0.0004964480842793108
wco2+wh2o+,0.3125,0.0006804319253854606
wco2+wh2o+,0.15625,0.0007648894974503378
wco2+wh2o+,0.078125,0.00026404438364139806
wco2+wh2o+,0.0390625,6.702712772459915e-05
wco2+wh2o+_qc,,0.00011111111111111112
wco2+wh2o-,,0.0996520724564546
wco2+wh2o-,10.0,0.0015717625379992265
wco2+wh2o-,0.01953125,0.004356738482936924
wco2+wh2o-,0.009765625,0.002361295165597278
wco2+wh2o-,0.0048828125,0.0008038465057472711
wco2+wh2o-,0.00244140625,0.0006974126033203278
wco2+wh2o-,0.001220703125,0.0012863319270256556
wco2+wh2o-,0.0006103515625,0.00015757417593502773
wco2+wh2o-,0.00030517578125,9.153758593794572e-08
wco2+wh2o-,0.000152587890625,0.0
wco2+wh2o-,7.62939453125e-05,0.0
wco2+wh2o-,3.814697265625e-05,0.0
wco2+wh2o-,5.0,0.0021184159984849646
wco2+wh2o-,2.5,0.00816225390173099
wco2+wh2o-,1.25,0.014987632909803384
wco2+wh2o-,0.625,0.01903182602327291
wco2+wh2o-,0.3125,0.015480396719172616
wco2+wh2o-,0.15625,0.01181623224325459
wco2+wh2o-,0.078125,0.00971893328613528
wco2+wh2o-,0.0390625,0.00710141997603816
wco2+wh2o-_qc,,0.00011111111111111112
wco2+wh2o·,,0.0
wco2+wh2o·,10.0,0.0
wco2+wh2o·,0.01953125,0.0
wco2+wh2o·,0.009765625,0.0
wco2+wh2o·,0.0048828125,0.0
wco2+wh2o·,0.00244140625,0.0
wco2+wh2o·,0.001220703125,0.0
wco2+wh2o·,0.0006103515625,0.0
wco2+wh2o·,0.00030517578125,0.0
wco2+wh2o·,0.000152587890625,0.0
wco2+wh2o·,7.62939453125e-05,0.0
wco2+wh2o·,3.814697265625e-05,0.0
wco2+wh2o·,5.0,0.0
wco2+wh2o·,2.5,0.0
wco2+wh2o·,1.25,0.0
wco2+wh2o·,0.625,0.0
wco2+wh2o·,0.3125,0.0
wco2+wh2o·,0.15625,0.0
wco2+wh2o·,0.078125,0.0
wco2+wh2o·,0.0390625,0.0
wco2+wh2o·_qc,,0.00011111111111111112
wco2-wh2o+,,-0.7154793740385773
wco2-wh2o+,10.0,-0.0017494286604395582
wco2-wh2o+,0.01953125,-0.07317344995620517
wco2-wh2o+,0.009765625,-0.05106433529289102
wco2-wh2o+,0.0048828125,-0.01440242567878537
wco2-wh2o+,0.00244140625,-0.030358735137576535
wco2-wh2o+,0.001220703125,-0.003962102401947652
wco2-wh2o+,0.0006103515625,-8.223703396542148e-05
wco2-wh2o+,0.00030517578125,-0.0015523287991323598
wco2-wh2o+,0.000152587890625,-0.0002042164014599189
wco2-wh2o+,7.62939453125e-05,-0.001993676974235066
wco2-wh2o+,3.814697265625e-05,0.0
wco2-wh2o+,5.0,-0.0034044699515960266
wco2-wh2o+,2.5,-0.024230430611957666
