wavelet_based_(co)spectra
--------------------------------------------------------------
TIMESTAMP_START = 2022-05-15 18:30:00
TIMESTAMP_END = 2022-05-15 18:59:59.950000
N: 36000
TIME_BUFFER [min] = 495.0
frequency [Hz]
y-axis_->_wavelet_coefficient_*_
mother_wavelet -> dwt
acquisition_frequency [Hz] = 20.0
averaging_interval [Min] = 30
variable,natural_frequency,value
co2D_var,,13.010409631994087
co2D_var_qc,,0.9997777777777778
co2T_var,,157359.8978469811
co2T_var_qc,,0.9997777777777778
co2_nfb,,
co2_var,,427.6160106364887
co2_var_qc,,0.9997777777777778
h2oD_var,,0.2819142765786814
h2oD_var_qc,,0.9997777777777778
h2oT_var,,192.75166644202736
h2oT_var_qc,,0.9997777777777778
h2o_nfb,,
h2o_var,,2.188416651428623
h2o_var_qc,,0.9997777777777778
w/co2D_cov,,-0.06064999350488753
w/co2D_cov_qc,,0.00022222222222222223
w/co2T_cov,,0.02102621928893292
w/co2T_cov_qc,,0.00022222222222222223
w/co2_cov,,-0.04657386782108771
w/co2_cov_qc,,0.00022222222222222223
wD/co2D_cov,,-0.06132510729492746
wD/co2D_cov_qc,,0.00022222222222222223
wD/co2_cov,,-0.0725819196034898
wD/co2_cov_qc,,0.00022222222222222223
wD_var,,0.19622236780945335
wD_var_qc,,1.0
wT/co2T_cov,,-0.4604704949358818
wT/co2T_cov_qc,,0.00022222222222222223
wT/co2_cov,,0.026001906929560958
wT/co2_cov_qc,,0.00022222222222222223
wT_var,,3.259128294945661e-06
wT_var_qc,,1.0
w_nfb,,
w_var,,0.19624604940583884
w_var_qc,,1.0
wco2,,-0.034303609165615465
wco2+wh2o+,,0.02274785403195769
wco2+wh2o+,10.0,0.0016061104130078694
wco2+wh2o+,0.01953125,0.0011946666359324825
wco2+wh2o+,0.009765625,0.00040046957351508956
wco2+wh2o+,0.0048828125,0.00011957364004169774
wco2+wh2o+,0.00244140625,9.649706864857323e-05
wco2+wh2o+,0.001220703125,1.8318213075127032e-06
wco2+wh2o+,0.0006103515625,1.2609350081913664e-05
wco2+wh2o+,0.00030517578125,0.0
wco2+wh2o+,0.000152587890625,0.00032451338593899096
wco2+wh2o+,7.62939453125e-05,0.0
wco2+wh2o+,3.814697265625e-05,0.0
wco2+wh2o+,5.0,0.0014019077229033084
wco2+wh2o+,2.5,0.001669664252721519
wco2+wh2o+,1.25,0.0021116837971740673
wco2+wh2o+,0.625,0.003450106746613288
wco2+wh2o+,0.3125,0.003534142663629745
wco2+wh2o+,0.15625,0.0036343574032717267
wco2+wh2o+,0.078125,0.0015633426212492815
wco2+wh2o+,0.0390625,0.001950890321859615
wco2+wh2o+_qc,,0.00022222222222222223
wco2+wh2o-,,0.03362774877040013
wco2+wh2o-,10.0,0.0010031091381968059
wco2+wh2o-,0.01953125,0.0013606967056689584
wco2+wh2o-,0.009765625,0.0003314820585690768
wco2+wh2o-,0.0048828125,0.0025717201127551633
wco2+wh2o-,0.00244140625,0.0002470092252892121
wco2+wh2o-,0.001220703125,0.0006141845286324847
wco2+wh2o-,0.0006103515625,0.007173421515111134
wco2+wh2o-,0.00030517578125,0.0005069126261481304
wco2+wh2o-,0.000152587890625,0.002012162358029078
wco2+wh2o-,7.62939453125e-05,0.0
wco2+wh2o-,3.814697265625e-05,0.0
wco2+wh2o-,5.0,0.001846456991381446
wco2+wh2o-,2.5,0.0034333418038487574
wco2+wh2o-,1.25,0.0042964567032422255
wco2+wh2o-,0.625,0.003978594646467137
wco2+wh2o-,0.3125,0.0027612690994521173
wco2+wh2o-,0.15625,0.0021926021094951205
wco2+wh2o-,0.078125,0.001188776682298544
wco2+wh2o-,0.0390625,0.0006286274499919515
wco2+wh2o-_qc,,0.00022222222222222223
wco2+wh2o·,,0.0
wco2+wh2o·,10.0,0.0
wco2+wh2o·,0.01953125,0.0
wco2+wh2o·,0.009765625,0.0
wco2+wh2o·,0.0048828125,0.0
wco2+wh2o·,0.00244140625,0.0
wco2+wh2o·,0.001220703125,0.0
wco2+wh2o·,0.0006103515625,0.0
wco2+wh2o·,0.00030517578125,0.0
wco2+wh2o·,0.000152587890625,0.0
wco2+wh2o·,7.62939453125e-05,0.0
wco2+wh2o·,3.814697265625e-05,0.0
wco2+wh2o·,5.0,0.0
wco2+wh2o·,2.5,0.0
wco2+wh2o·,1.25,0.0
wco2+wh2o·,0.625,0.0
wco2+wh2o·,0.3125,0.0
wco2+wh2o·,0.15625,0.0
wco2+wh2o·,0.078125,0.0
wco2+wh2o·,0.0390625,0.0
wco2+wh2o·_qc,,0.00022222222222222223
wco2-wh2o+,,-0.07620293004325232
wco2-wh2o+,10.0,-0.0010087780943512815
wco2-wh2o+,0.01953125,-0.00472383553674089
wco2-wh2o+,0.009765625,-0.0028618586494825312
wco2-wh2o+,0.0048828125,-0.002012882163194419
wco2-wh2o+,0.00244140625,-0.005864798032831454
wco2-wh2o+,0.001220703125,-0.005283675563045148
wco2-wh2o+,0.0006103515625,-4.5676630248734516e-05
wco2-wh2o+,0.00030517578125,-0.0008117854400518068
wco2-wh2o+,0.000152587890625,-0.0004969411302023194
wco2-wh2o+,7.62939453125e-05,0.0
wco2-wh2o+,3.814697265625e-05,0.0
wco2-wh2o+,5.0,-0.0018005338002159775
wco2-wh2o+,2.5,-0.003031383960274756
wco2-wh2o+,1.25,-0.006443345001512335
wco2-wh2o+,0.625,-0.009947709902127766
wco2-wh2o+,0.3125,-0.011242614150678525
wco2-wh2o+,0.15625,-0.008969101159272927
wco2-wh2o+,0.078125,-0.00706411289198612
wco2-wh2o+,0.0390625,-0.005902624507289459
wco2-wh2o+_qc,,0.00022222222222222223
wco2-wh2o-,,-0.014476281924720969
wco2-wh2o-,10.0,-0.0016317668493124428
wco2-wh2o-,0.01953125,-0.0001361281482387456
wco2-wh2o-,0.009765625,-7.452521131256956e-05
wco2-wh2o-,0.0048828125,-6.213854387211284e-05
wco2-wh2o-,0.00244140625,-1.662261740015086e-05
wco2-wh2o-,0.001220703125,-0.0006247765436185396
wco2-wh2o-,0.0006103515625,-0.002554812140062422
wco2-wh2o-,0.00030517578125,-9.33347055127698e-05
wco2-wh2o-,0.000152587890625,0.0
wco2-wh2o-,7.62939453125e-05,-0.007334714947186911
wco2-wh2o-,3.814697265625e-05,-0.8715581406933035
wco2-wh2o-,5.0,-0.0014041660485721796
wco2-wh2o-,2.5,-0.0015729302748177338
wco2-wh2o-,1.25,-0.0015444069977108069
wco2-wh2o-,0.625,-0.0013791762060547399
wco2-wh2o-,0.3125,-0.0013054773141717
wco2-wh2o-,0.15625,-0.0011071686471556704
wco2-wh2o-,0.078125,-0.000599126210354334
wco2-wh2o-,0.0390625,-0.0004630601720668224
wco2-wh2o-_qc,,0.00022222222222222223
wco2-wh2o·,,0.0
wco2-wh2o·,10.0,0.0
wco2-wh2o·,0.01953125,0.0
wco2-wh2o·,0.009765625,0.0
wco2-wh2o·,0.0048828125,0.0
wco2-wh2o·,0.00244140625,0.0
wco2-wh2o·,0.001220703125,0.0
wco2-wh2o·,0.0006103515625,0.0
wco2-wh2o·,0.00030517578125,0.0
wco2-wh2o·,0.000152587890625,0.0
wco2-wh2o·,7.62939453125e-05,0.0
wco2-wh2o·,3.814697265625e-05,0.0
wco2-wh2o·,5.0,0.0
wco2-wh2o·,2.5,0.0
wco2-wh2o·,1.25,0.0
wco2-wh2o·,0.625,0.0
wco2-wh2o·,0.3125,0.0
wco2-wh2o·,0.15625,0.0
wco2-wh2o·,0.078125,0.0
wco2-wh2o·,0.0390625,0.0
wco2-wh2o·_qc,,0.00022222222222222223
wco2,10.0,-3.1325392459049426e-05
wco2,0.01953125,-0.0023046003433781948
wco2,0.009765625,-0.0022044322287109344
wco2,0.0048828125,0.000616273045730329
wco2,0.00244140625,-0.005537914356293819
wco2,0.001220703125,-0.00529243575672369
wco2,0.0006103515625,0.00458554209488189
wco2,0.00030517578125,-0.0003982075194164463
wco2,0.000152587890625,0.0018397346137657494
wco2,7.62939453125e-05,-0.007334714947186911
wco2,3.814697265625e-05,-0.8715581406933035
wco2,5.0,4.366486549659744e-05
wco2,2.5,0.0004986918214777866
wco2,1.25,-0.001579611498806849
wco2,0.625,-0.0038981847151020816
wco2,0.3125,-0.006252679701768363
wco2,0.15625,-0.0042493102936617495
wco2,0.078125,-0.004911119798792629
wco2,0.0390625,-0.0037861669075047147
wco2_qc,,0.00022222222222222223
wco2·,,0.0
