wavelet_based_(co)spectra
--------------------------------------------------------------
TIMESTAMP_START = 2022-05-15 07:30:00
TIMESTAMP_END = 2022-05-15 07:59:59.950000
N: 36000
TIME_BUFFER [min] = 495.0
frequency [Hz]
y-axis_->_wavelet_coefficient_*_
mother_wavelet -> dwt
acquisition_frequency [Hz] = 20.0
averaging_interval [Min] = 30
variable,natural_frequency,value
co2D_var,,11.592922027183999
co2D_var_qc,,0.9997777777777778
co2T_var,,177434.81861042412
co2T_var_qc,,0.9997777777777778
co2_nfb,,
co2_var,,10.203382264751033
co2_var_qc,,0.9997777777777778
h2oD_var,,0.06893209621764868
h2oD_var_qc,,0.9996111111111111
h2oT_var,,145.45303335804485
h2oT_var_qc,,0.9996111111111111
h2o_nfb,,
h2o_var,,0.06479771613112148
h2o_var_qc,,0.9996111111111111
w/co2D_cov,,-0.2670126162391612
w/co2D_cov_qc,,0.00022222222222222223
w/co2T_cov,,-0.005926451311681981
w/co2T_cov_qc,,0.00022222222222222223
w/co2_cov,,-0.26871304050428146
w/co2_cov_qc,,0.00022222222222222223
wD/co2D_cov,,-0.27330538771134244
wD/co2D_cov_qc,,0.00022222222222222223
wD/co2_cov,,-0.27334226646219173
wD/co2_cov_qc,,0.00022222222222222223
wD_var,,0.13699464932151148
wD_var_qc,,1.0
wT/co2T_cov,,1.7173757062264667
wT/co2T_cov_qc,,0.00022222222222222223
wT/co2_cov,,0.0046292259579102865
wT/co2_cov_qc,,0.00022222222222222223
wT_var,,2.629170816829207e-05
wT_var_qc,,1.0
w_nfb,,
w_var,,0.13695309395079888
w_var_qc,,1.0
wco2,,-0.25504629791301636
wco2+wh2o+,,0.018874435547591918
wco2+wh2o+,10.0,0.0010678645793387074
wco2+wh2o+,0.01953125,9.940974082759486e-05
wco2+wh2o+,0.009765625,0.00015313751576980766
wco2+wh2o+,0.0048828125,1.7254834415999625e-05
wco2+wh2o+,0.00244140625,0.0019769635396849694
wco2+wh2o+,0.001220703125,6.256345347241754e-05
wco2+wh2o+,0.0006103515625,1.7167226222371527e-08
wco2+wh2o+,0.00030517578125,6.200596702586656e-06
wco2+wh2o+,0.000152587890625,0.0
wco2+wh2o+,7.62939453125e-05,0.0
wco2+wh2o+,3.814697265625e-05,0.1975349569176039
wco2+wh2o+,5.0,0.0024869072161328295
wco2+wh2o+,2.5,0.007082558175476301
wco2+wh2o+,1.25,0.002893616359637028
wco2+wh2o+,0.625,0.0006123847868392823
wco2+wh2o+,0.3125,0.0006353112546963876
wco2+wh2o+,0.15625,0.0012111898528997845
wco2+wh2o+,0.078125,0.00039099471373504847
wco2+wh2o+,0.0390625,0.00018426235743953574
wco2+wh2o+_qc,,0.00022222222222222223
wco2+wh2o-,,0.07824875679809623
wco2+wh2o-,10.0,0.0010140777396913483
wco2+wh2o-,0.01953125,0.002007801184652482
wco2+wh2o-,0.009765625,0.002829389267527184
wco2+wh2o-,0.0048828125,0.0004084191230996468
wco2+wh2o-,0.00244140625,0.0017625725268148578
wco2+wh2o-,0.001220703125,5.169002445386962e-07
wco2+wh2o-,0.0006103515625,3.3518869547402765e-07
wco2+wh2o-,0.00030517578125,0.0
wco2+wh2o-,0.000152587890625,0.0
wco2+wh2o-,7.62939453125e-05,1.5583154245636923e-05
wco2+wh2o-,3.814697265625e-05,0.0
wco2+wh2o-,5.0,0.002021446523187853
wco2+wh2o-,2.5,0.005205897296098279
wco2+wh2o-,1.25,0.013826351346703486
wco2+wh2o-,0.625,0.014257460587808064
wco2+wh2o-,0.3125,0.010361728908055461
wco2+wh2o-,0.15625,0.012646480354792579
wco2+wh2o-,0.078125,0.005409532191268777
wco2+wh2o-,0.0390625,0.00649674765945621
wco2+wh2o-_qc,,0.00022222222222222223
wco2+wh2o·,,0.0
wco2+wh2o·,10.0,0.0
wco2+wh2o·,0.01953125,0.0
wco2+wh2o·,0.009765625,0.0
wco2+wh2o·,0.0048828125,0.0
wco2+wh2o·,0.00244140625,0.0
wco2+wh2o·,0.001220703125,0.0
wco2+wh2o·,0.0006103515625,0.0
wco2+wh2o·,0.00030517578125,0.0
wco2+wh2o·,0.000152587890625,0.0
wco2+wh2o·,7.62939453125e-05,0.0
wco2+wh2o·,3.814697265625e-05,0.0
wco2+wh2o·,5.0,0.0
wco2+wh2o·,2.5,0.0
wco2+wh2o·,1.25,0.0
wco2+wh2o·,0.625,0.0
wco2+wh2o·,0.3125,0.0
wco2+wh2o·,0.15625,0.0
wco2+wh2o·,0.078125,0.0
wco2+wh2o·,0.0390625,0.0
wco2+wh2o·_qc,,0.00022222222222222223
wco2-wh2o+,,-0.3148181510608324
wco2-wh2o+,10.0,-0.0010148768920282489
wco2-wh2o+,0.01953125,-0.032906217046108834
wco2-wh2o+,0.009765625,-0.026716137295413295
wco2-wh2o+,0.0048828125,-0.014311826066970717
wco2-wh2o+,0.00244140625,-0.005554227748050924
wco2-wh2o+,0.001220703125,-0.0052918088067991165
wco2-wh2o+,0.0006103515625,-0.002720821318353777
wco2-wh2o+,0.00030517578125,-0.009820592105215829
wco2-wh2o+,0.000152587890625,-0.012902698853520689
wco2-wh2o+,7.62939453125e-05,0.0
wco2-wh2o+,3.814697265625e-05,0.0
wco2-wh2o+,5.0,-0.002277427618820803
wco2-wh2o+,2.5,-0.0043912410431752175
wco2-wh2o+,1.25,-0.01819608077267969
wco2-wh2o+,0.625,-0.0415644817768183
wco2-wh2o+,0.3125,-0.05245760781645608
wco2-wh2o+,0.15625,-0.03770732112066255
wco2-wh2o+,0.078125,-0.039861228228459396
wco2-wh2o+,0.0390625,-0.029846847510035482
wco2-wh2o+_qc,,0.00022222222222222223
wco2-wh2o-,,-0.037351339197872056
wco2-wh2o-,10.0,-0.0010046833021782416
wco2-wh2o-,0.01953125,-0.000193871367414034
wco2-wh2o-,0.009765625,-0.00016330174323170844
wco2-wh2o-,0.0048828125,-8.301791417360146e-05
wco2-wh2o-,0.00244140625,-5.526765763424001e-05
wco2-wh2o-,0.001220703125,-0.000658245088622023
wco2-wh2o-,0.0006103515625,-0.007820866788088294
wco2-wh2o-,0.00030517578125,-0.0018676920996915664
wco2-wh2o-,0.000152587890625,0.0
wco2-wh2o-,7.62939453125e-05,-5.516390944410591e-05
wco2-wh2o-,3.814697265625e-05,0.0
wco2-wh2o-,5.0,-0.002844930027093259
wco2-wh2o-,2.5,-0.004830503782266812
wco2-wh2o-,1.25,-0.003210625506385902
wco2-wh2o-,0.625,-0.0029608236105429747
wco2-wh2o-,0.3125,-0.004753535345724061
wco2-wh2o-,0.15625,-0.004318485712904891
wco2-wh2o-,0.078125,-0.002779121400803529
wco2-wh2o-,0.0390625,-0.0016740599508084841
wco2-wh2o-_qc,,0.00022222222222222223
wco2-wh2o·,,0.0
wco2-wh2o·,10.0,0.0
wco2-wh2o·,0.01953125,0.0
wco2-wh2o·,0.009765625,0.0
wco2-wh2o·,0.0048828125,0.0
wco2-wh2o·,0.00244140625,0.0
wco2-wh2o·,0.001220703125,0.0
wco2-wh2o·,0.0006103515625,0.0
wco2-wh2o·,0.00030517578125,0.0
wco2-wh2o·,0.000152587890625,0.0
wco2-wh2o·,7.62939453125e-05,0.0
wco2-wh2o·,3.814697265625e-05,0.0
wco2-wh2o·,5.0,0.0
wco2-wh2o·,2.5,0.0
wco2-wh2o·,1.25,0.0
wco2-wh2o·,0.625,0.0
wco2-wh2o·,0.3125,0.0
wco2-wh2o·,0.15625,0.0
wco2-wh2o·,0.078125,0.0
wco2-wh2o·,0.0390625,0.0
wco2-wh2o·_qc,,0.00022222222222222223
wco2,10.0,6.238212482356533e-05
wco2,0.01953125,-0.030992877488042785
wco2,0.009765625,-0.023896912255348013
wco2,0.0048828125,-0.013969170023628671
wco2,0.00244140625,-0.0018699593391853367
wco2,0.001220703125,-0.0058869735417041835
wco2,0.0006103515625,-0.010541335750520376
wco2,0.00030517578125,-0.011682083608204809
wco2,0.000152587890625,-0.012902698853520689
wco2,7.62939453125e-05,-3.9580755198468984e-05
wco2,3.814697265625e-05,0.1975349569176039
wco2,5.0,-0.0006140039065933795
wco2,2.5,0.003066710646132549
wco2,1.25,-0.004686738572725077
wco2,0.625,-0.029655460012713925
wco2,0.3125,-0.0462141029994283
wco2,0.15625,-0.028168136625875084
wco2,0.078125,-0.03683982272425909
wco2,0.0390625,-0.02483989744394822
wco2_qc,,0.00022222222222222223
wco2·,,0.0
wco2·,10.0,0.0
wco2·,0.01953125,0.0
wco2·,0.009765625,0.0
wco2·,0.0048828125,0.0
wco2·,0.00244140625,0.0
wco2·,0.001220703125,0.0
wco2·,0.0006103515625,0.0
wco2·,0.00030517578125,0.0
wco2·,0.000152587890625,0.0
wco2·,7.62939453125e-05,0.0
wco2·,3.814697265625e-05,0.0
wco2·,5.0,0.0
wco2·,2.5,0.0
wco2·,1.25,0.0
wco2·,0.625,0.0
wco2·,0.3125,0.0
wco2·,0.15625,0.0
wco2·,0.078125,0.0
wco2·,0.0390625,0.0
wco2·_qc,,0.00022222222222222223
wco2·wh2o+,,0.0
wco2·wh2o+,10.0,0.0
wco2·wh2o+,0.01953125,0.0
wco2·wh2o+,0.009765625,0.0
wco2·wh2o+,0.0048828125,0.0
wco2·wh2o+,0.00244140625,0.0
wco2·wh2o+,0.001220703125,0.0
wco2·wh2o+,0.0006103515625,0.0
wco2·wh2o+,0.00030517578125,0.0
wco2·wh2o+,0.000152587890625,0.0
wco2·wh2o+,7.62939453125e-05,0.0
wco2·wh2o+,3.814697265625e-05,0.0
wco2·wh2o+,5.0,0.0
wco2·wh2o+,2.5,0.0
wco2·wh2o+,1.25,0.0
wco2·wh2o+,0.625,0.0
wco2·wh2o+,0.3125,0.0
wco2·wh2o+,0.15625,0.0
wco2·wh2o+,0.078125,0.0
wco2·wh2o+,0.0390625,0.0
wco2·wh2o+_qc,,0.00022222222222222223
wco2·wh2o-,,0.0
wco2·wh2o-,10.0,0.0
wco2·wh2o-,0.01953125,0.0
wco2·wh2o-,0.009765625,0.0
wco2·wh2o-,0.0048828125,0.0
