wavelet_based_(co)spectra
--------------------------------------------------------------
TIMESTAMP_START = 2022-05-15 13:30:00
TIMESTAMP_END = 2022-05-15 13:59:59.950000
N: 36000
TIME_BUFFER [min] = 495.0
frequency [Hz]
y-axis_->_wavelet_coefficient_*_
mother_wavelet -> dwt
acquisition_frequency [Hz] = 20.0
averaging_interval [Min] = 30
variable,natural_frequency,value
co2D_var,,4.701783937843806
co2D_var_qc,,0.9998888888888889
co2T_var,,151589.12514214963
co2T_var_qc,,0.9998888888888889
co2_nfb,,
co2_var,,4.9711677716741764
co2_var_qc,,0.9998888888888889
h2oD_var,,0.37990929475407825
h2oD_var_qc,,0.9998333333333334
h2oT_var,,144.53762471763457
h2oT_var_qc,,0.9998333333333334
h2o_nfb,,
h2o_var,,0.38005619335660873
h2o_var_qc,,0.9998333333333334
w/co2D_cov,,-0.30411206250501877
w/co2D_cov_qc,,0.00011111111111111112
w/co2T_cov,,-0.003780336954523408
w/co2T_cov_qc,,0.00011111111111111112
w/co2_cov,,-0.3065299704295588
w/co2_cov_qc,,0.00011111111111111112
wD/co2D_cov,,-0.3047653658376826
wD/co2D_cov_qc,,0.00011111111111111112
wD/co2_cov,,-0.30628458817928195
wD/co2_cov_qc,,0.00011111111111111112
wD_var,,0.3079448055309748
wD_var_qc,,1.0
wT/co2T_cov,,0.8221999774169043
wT/co2T_cov_qc,,0.00011111111111111112
wT/co2_cov,,-0.0002453822502768728
wT/co2_cov_qc,,0.00011111111111111112
wT_var,,5.258938104520963e-06
wT_var_qc,,1.0
w_nfb,,
w_var,,0.3079695518630382
w_var_qc,,1.0
wco2,,-0.2955055124711368
wco2+wh2o+,,0.011041633298426645
wco2+wh2o+,10.0,0.003701206817319033
wco2+wh2o+,0.01953125,3.7001831103189504e-05
wco2+wh2o+,0.009765625,1.7544161070483086e-05
wco2+wh2o+,0.0048828125,4.720916802423095e-05
wco2+wh2o+,0.00244140625,0.00018023478167899005
wco2+wh2o+,0.001220703125,4.009749114525741e-09
wco2+wh2o+,0.0006103515625,0.0
wco2+wh2o+,0.00030517578125,1.7451998368952417e-05
wco2+wh2o+,0.000152587890625,5.559636668986662e-09
wco2+wh2o+,7.62939453125e-05,0.0
wco2+wh2o+,3.814697265625e-05,0.0011599616086118197
wco2+wh2o+,5.0,0.003993622839017173
wco2+wh2o+,2.5,0.0016120161978475677
wco2+wh2o+,1.25,0.0003203877247398211
wco2+wh2o+,0.625,0.0003900208385215459
wco2+wh2o+,0.3125,0.00045681705394630916
wco2+wh2o+,0.15625,0.00022982798761791098
wco2+wh2o+,0.078125,4.825775631202069e-05
wco2+wh2o+,0.0390625,7.48213147925539e-06
wco2+wh2o+_qc,,0.00011111111111111112
wco2+wh2o-,,0.1273507676699301
wco2+wh2o-,10.0,0.0020228524923644325
wco2+wh2o-,0.01953125,0.005007312475458381
wco2+wh2o-,0.009765625,0.003184920887485826
wco2+wh2o-,0.0048828125,0.006494627129920446
wco2+wh2o-,0.00244140625,0.0027703090148218047
wco2+wh2o-,0.001220703125,0.0022248236683467294
wco2+wh2o-,0.0006103515625,0.01050800954530977
wco2+wh2o-,0.00030517578125,2.272480081157669e-05
wco2+wh2o-,0.000152587890625,0.0
wco2+wh2o-,7.62939453125e-05,0.0
wco2+wh2o-,3.814697265625e-05,0.0
wco2+wh2o-,5.0,0.0056607250570523925
wco2+wh2o-,2.5,0.015276310595488939
wco2+wh2o-,1.25,0.01703083611636615
wco2+wh2o-,0.625,0.016907907301140255
wco2+wh2o-,0.3125,0.018227396033701288
wco2+wh2o-,0.15625,0.008700340932480769
wco2+wh2o-,0.078125,0.0060272551746423045
wco2+wh2o-,0.0390625,0.0073071412453505945
wco2+wh2o-_qc,,0.00011111111111111112
wco2+wh2o·,,0.0
wco2+wh2o·,10.0,0.0
wco2+wh2o·,0.01953125,0.0
wco2+wh2o·,0.009765625,0.0
wco2+wh2o·,0.0048828125,0.0
wco2+wh2o·,0.00244140625,0.0
wco2+wh2o·,0.001220703125,0.0
wco2+wh2o·,0.0006103515625,0.0
wco2+wh2o·,0.00030517578125,0.0
wco2+wh2o·,0.000152587890625,0.0
wco2+wh2o·,7.62939453125e-05,0.0
wco2+wh2o·,3.814697265625e-05,0.0
wco2+wh2o·,5.0,0.0
wco2+wh2o·,2.5,0.0
wco2+wh2o·,1.25,0.0
wco2+wh2o·,0.625,0.0
wco2+wh2o·,0.3125,0.0
wco2+wh2o·,0.15625,0.0
wco2+wh2o·,0.078125,0.0
wco2+wh2o·,0.0390625,0.0
wco2+wh2o·_qc,,0.00011111111111111112
wco2-wh2o+,,-0.418776813115844
wco2-wh2o+,10.0,-0.002079427134573503
wco2-wh2o+,0.01953125,-0.028514195558660284
wco2-wh2o+,0.009765625,-0.02162297270238493
wco2-wh2o+,0.0048828125,-0.013570244380610543
wco2-wh2o+,0.00244140625,-0.007891415484915744
wco2-wh2o+,0.001220703125,-0.001031926182254035
wco2-wh2o+,0.0006103515625,-3.7782232147593004e-05
wco2-wh2o+,0.00030517578125,-0.0015877337405186668
wco2-wh2o+,0.000152587890625,-0.002961273043547512
wco2-wh2o+,7.62939453125e-05,-0.0019051748073383155
wco2-wh2o+,3.814697265625e-05,0.0
wco2-wh2o+,5.0,-0.0069598871737759855
wco2-wh2o+,2.5,-0.026137541748680344
wco2-wh2o+,1.25,-0.05493972593206405
wco2-wh2o+,0.625,-0.067687225806729
wco2-wh2o+,0.3125,-0.06736734287541606
wco2-wh2o+,0.15625,-0.05734289576687411
wco2-wh2o+,0.078125,-0.04015458540249419
wco2-wh2o+,0.0390625,-0.023439644734263635
wco2-wh2o+_qc,,0.00011111111111111112
wco2-wh2o-,,-0.015121100323649569
wco2-wh2o-,10.0,-0.00403284897509285
