wavelet_based_(co)spectra
--------------------------------------------------------------
TIMESTAMP_START = 2022-05-15 02:30:00
TIMESTAMP_END = 2022-05-15 02:59:59.950000
N: 36000
TIME_BUFFER [min] = 495.0
frequency [Hz]
y-axis_->_wavelet_coefficient_*_
mother_wavelet -> dwt
acquisition_frequency [Hz] = 20.0
averaging_interval [Min] = 30
variable,natural_frequency,value
co2D_var,,10.95338416460067
co2D_var_qc,,0.9998333333333334
co2T_var,,209119.75651793892
co2T_var_qc,,0.9998333333333334
co2_nfb,,
co2_var,,5.610674741047865
co2_var_qc,,0.9998333333333334
h2oD_var,,0.00022064831767202984
h2oD_var_qc,,0.9996111111111111
h2oT_var,,106.59661308270304
h2oT_var_qc,,0.9996111111111111
h2o_nfb,,
h2o_var,,0.00026457327837751683
h2o_var_qc,,0.9996111111111111
w/co2D_cov,,0.0668004267514323
w/co2D_cov_qc,,0.00016666666666666666
w/co2T_cov,,-0.017555736808797864
w/co2T_cov_qc,,0.00016666666666666666
w/co2_cov,,0.04968388211766127
w/co2_cov_qc,,0.00016666666666666666
wD/co2D_cov,,0.06161672170846295
wD/co2D_cov_qc,,0.00016666666666666666
wD/co2_cov,,0.046769036729941205
wD/co2_cov_qc,,0.00016666666666666666
wD_var,,0.024100719274409238
wD_var_qc,,1.0
wT/co2T_cov,,-1.2732126046764478
wT/co2T_cov_qc,,0.00016666666666666666
wT/co2_cov,,0.0029148453877200593
wT/co2_cov_qc,,0.00016666666666666666
wT_var,,1.0408201037798965e-05
wT_var_qc,,1.0
w_nfb,,
w_var,,0.024118024855250584
w_var_qc,,1.0
wco2,,0.0410798590473229
wco2+wh2o+,,0.03745872057594922
wco2+wh2o+,10.0,0.0007882180360708363
wco2+wh2o+,0.01953125,0.0015125615656048411
wco2+wh2o+,0.009765625,0.0011309160823847482
wco2+wh2o+,0.0048828125,0.0005158195898715898
wco2+wh2o+,0.00244140625,0.00032700686111088374
wco2+wh2o+,0.001220703125,0.0022101676254115596
wco2+wh2o+,0.0006103515625,0.006195211253681952
wco2+wh2o+,0.00030517578125,2.528399155310847e-05
wco2+wh2o+,0.000152587890625,0.0
wco2+wh2o+,7.62939453125e-05,0.0
wco2+wh2o+,3.814697265625e-05,0.0
wco2+wh2o+,5.0,0.001242928144464528
wco2+wh2o+,2.5,0.0018451600679878892
wco2+wh2o+,1.25,0.0037244847183215478
