wavelet_based_(co)spectra
--------------------------------------------------------------
TIMESTAMP_START = 2022-05-14 21:30:00
TIMESTAMP_END = 2022-05-14 21:59:59.950000
N: 36000
TIME_BUFFER [min] = 495.0
frequency [Hz]
y-axis_->_wavelet_coefficient_*_
mother_wavelet -> dwt
acquisition_frequency [Hz] = 20.0
averaging_interval [Min] = 30
variable,natural_frequency,value
co2D_var,,34.04061738423752
co2D_var_qc,,0.9997777777777778
co2T_var,,196750.3700528685
co2T_var_qc,,0.9997777777777778
co2_nfb,,
co2_var,,705.6656202001774
co2_var_qc,,0.9997777777777778
h2oD_var,,0.009432036867413257
h2oD_var_qc,,0.9996111111111111
h2oT_var,,107.68223390490571
h2oT_var_qc,,0.9996111111111111
h2o_nfb,,
h2o_var,,0.004480235044868205
h2o_var_qc,,0.9996111111111111
w/co2D_cov,,0.023560693372783954
w/co2D_cov_qc,,0.00022222222222222223
w/co2T_cov,,0.02003009907000205
w/co2T_cov_qc,,0.00022222222222222223
w/co2_cov,,0.04355789464831009
w/co2_cov_qc,,0.00022222222222222223
wD/co2D_cov,,0.037942502277572274
wD/co2D_cov_qc,,0.00022222222222222223
wD/co2_cov,,0.5253853354943899
wD/co2_cov_qc,,0.00022222222222222223
wD_var,,0.008850530371307702
wD_var_qc,,1.0
wT/co2T_cov,,-7.639561209544055
wT/co2T_cov_qc,,0.00022222222222222223
wT/co2_cov,,-0.48182283544615023
wT/co2_cov_qc,,0.00022222222222222223
wT_var,,0.0004599765032119828
wT_var_qc,,1.0
w_nfb,,
w_var,,0.008749748088403779
w_var_qc,,1.0
wco2,,0.027389083105411657
wco2+wh2o+,,0.09592575057967302
wco2+wh2o+,10.0,0.0008007147723631363
wco2+wh2o+,0.01953125,0.005173215668370318
wco2+wh2o+,0.009765625,0.0021576510315225936
wco2+wh2o+,0.0048828125,0.002104466114258592
wco2+wh2o+,0.00244140625,0.0110874126579564
wco2+wh2o+,0.001220703125,0.04207040650046441
wco2+wh2o+,0.0006103515625,0.0011703675165712468
wco2+wh2o+,0.00030517578125,0.0
wco2+wh2o+,0.000152587890625,0.0
wco2+wh2o+,7.62939453125e-05,4.246583632848081e-05
wco2+wh2o+,3.814697265625e-05,0.0
wco2+wh2o+,5.0,0.0019458737614776863
wco2+wh2o+,2.5,0.0021253620045248237
wco2+wh2o+,1.25,0.0038646128763007333
wco2+wh2o+,0.625,0.00650412362612686
wco2+wh2o+,0.3125,0.006871339862713421
wco2+wh2o+,0.15625,0.0038450192431925844
wco2+wh2o+,0.078125,0.0036367600394483736
wco2+wh2o+,0.0390625,0.0025684249043818413
wco2+wh2o+_qc,,0.00022222222222222223
wco2+wh2o-,,0.02604736901675953
wco2+wh2o-,10.0,0.0007863417940789557
wco2+wh2o-,0.01953125,0.00027045967439102796
wco2+wh2o-,0.009765625,0.00014069149930621478
wco2+wh2o-,0.0048828125,0.0003477677252163374
wco2+wh2o-,0.00244140625,0.00026690319355513517
wco2+wh2o-,0.001220703125,0.0006131934756832703
wco2+wh2o-,0.0006103515625,0.0
wco2+wh2o-,0.00030517578125,0.0008300772410213316
wco2+wh2o-,0.000152587890625,0.06304980531659744
wco2+wh2o-,7.62939453125e-05,0.00012767693979450382
wco2+wh2o-,3.814697265625e-05,0.0
wco2+wh2o-,5.0,0.0020770006469769506
wco2+wh2o-,2.5,0.0028883139349854797
wco2+wh2o-,1.25,0.0038747720921638146
wco2+wh2o-,0.625,0.00528518833610219
wco2+wh2o-,0.3125,0.005583883472387088
wco2+wh2o-,0.15625,0.001968373404556427
wco2+wh2o-,0.078125,0.0012215734608195757
wco2+wh2o-,0.0390625,0.0007229063065370609
wco2+wh2o-_qc,,0.00022222222222222223
wco2+wh2o·,,0.0
wco2+wh2o·,10.0,0.0
wco2+wh2o·,0.01953125,0.0
wco2+wh2o·,0.009765625,0.0
wco2+wh2o·,0.0048828125,0.0
wco2+wh2o·,0.00244140625,0.0
wco2+wh2o·,0.001220703125,0.0
wco2+wh2o·,0.0006103515625,0.0
wco2+wh2o·,0.00030517578125,0.0
wco2+wh2o·,0.000152587890625,0.0
wco2+wh2o·,7.62939453125e-05,0.0
wco2+wh2o·,3.814697265625e-05,0.0
wco2+wh2o·,5.0,0.0
wco2+wh2o·,2.5,0.0
wco2+wh2o·,1.25,0.0
wco2+wh2o·,0.625,0.0
wco2+wh2o·,0.3125,0.0
wco2+wh2o·,0.15625,0.0
wco2+wh2o·,0.078125,0.0
wco2+wh2o·,0.0390625,0.0
