wavelet_based_(co)spectra
--------------------------------------------------------------
TIMESTAMP_START = 2022-05-14 18:00:00
TIMESTAMP_END = 2022-05-14 18:29:59.950000
N: 36000
TIME_BUFFER [min] = 495.0
frequency [Hz]
y-axis_->_wavelet_coefficient_*_
mother_wavelet -> dwt
acquisition_frequency [Hz] = 20.0
averaging_interval [Min] = 30
variable,natural_frequency,value
co2D_var,,17.34031792691046
co2D_var_qc,,0.9997777777777778
co2T_var,,158092.6987883088
co2T_var_qc,,0.9997777777777778
co2_nfb,,
co2_var,,373.8959038239093
co2_var_qc,,0.9997777777777778
h2oD_var,,0.8994747411106817
h2oD_var_qc,,0.9996944444444444
h2oT_var,,119.7689854285866
h2oT_var_qc,,0.9996944444444444
h2o_nfb,,
h2o_var,,0.5378512245915537
h2o_var_qc,,0.9996944444444444
w/co2D_cov,,-0.24681553889850935
w/co2D_cov_qc,,0.00022222222222222223
w/co2T_cov,,-0.0054647870747577265
w/co2T_cov_qc,,0.00022222222222222223
w/co2_cov,,-0.24963180200188684
w/co2_cov_qc,,0.00022222222222222223
wD/co2D_cov,,-0.24968350057082328
wD/co2D_cov_qc,,0.00022222222222222223
wD/co2_cov,,-0.2791054486884169
wD/co2_cov_qc,,0.00022222222222222223
wD_var,,0.06297736683762808
wD_var_qc,,1.0
wT/co2T_cov,,-0.5648781837673156
wT/co2T_cov_qc,,0.00022222222222222223
wT/co2_cov,,0.029470313039617085
wT/co2_cov_qc,,0.00022222222222222223
wT_var,,1.780352495410417e-05
wT_var_qc,,1.0
w_nfb,,
w_var,,0.06291833346043621
w_var_qc,,1.0
wco2,,-0.25953574408523533
wco2+wh2o+,,0.006316925600899965
wco2+wh2o+,10.0,0.0005659574042732397
wco2+wh2o+,0.01953125,9.582775198656361e-05
wco2+wh2o+,0.009765625,0.0001752634294494672
wco2+wh2o+,0.0048828125,4.978303588106431e-05
wco2+wh2o+,0.00244140625,1.4863179576577895e-05
wco2+wh2o+,0.001220703125,7.200302537819081e-05
wco2+wh2o+,0.0006103515625,0.0003126096685512511
wco2+wh2o+,0.00030517578125,3.5053343700498907e-06
wco2+wh2o+,0.000152587890625,4.555609405836782e-06
wco2+wh2o+,7.62939453125e-05,0.00047750622921247815
wco2+wh2o+,3.814697265625e-05,0.1201691891358798
wco2+wh2o+,5.0,0.0018727037150045834
wco2+wh2o+,2.5,0.00200191878487691
wco2+wh2o+,1.25,0.00036594924616070533
wco2+wh2o+,0.625,0.00023213719627888813
wco2+wh2o+,0.3125,0.0002041605101816893
wco2+wh2o+,0.15625,0.0001976205409570186
wco2+wh2o+,0.078125,0.00011363416510939758
wco2+wh2o+,0.0390625,4.249394723441839e-05
wco2+wh2o+_qc,,0.00022222222222222223
wco2+wh2o-,,0.10724099260781758
wco2+wh2o-,10.0,0.0004791453848704933
wco2+wh2o-,0.01953125,0.006662607868068422
wco2+wh2o-,0.009765625,0.010325102623467947
wco2+wh2o-,0.0048828125,0.011607178773751808
wco2+wh2o-,0.00244140625,0.002507154876914737
wco2+wh2o-,0.001220703125,0.00816062826394731
wco2+wh2o-,0.0006103515625,0.0018201340952447582
wco2+wh2o-,0.00030517578125,0.0019363196741648198
wco2+wh2o-,0.000152587890625,0.0018792841237992165
wco2+wh2o-,7.62939453125e-05,6.573153374040886e-05
wco2+wh2o-,3.814697265625e-05,0.0
wco2+wh2o-,5.0,0.0009677018142746364
wco2+wh2o-,2.5,0.0059128271775895445
wco2+wh2o-,1.25,0.012982105641701606
wco2+wh2o-,0.625,0.015138940419365036
wco2+wh2o-,0.3125,0.009568992538975779
wco2+wh2o-,0.15625,0.009150952014865158
wco2+wh2o-,0.078125,0.006212391723725908
wco2+wh2o-,0.0390625,0.005745129391054432
wco2+wh2o-_qc,,0.00022222222222222223
wco2+wh2o·,,0.0
wco2+wh2o·,10.0,0.0
wco2+wh2o·,0.01953125,0.0
wco2+wh2o·,0.009765625,0.0
wco2+wh2o·,0.0048828125,0.0
wco2+wh2o·,0.00244140625,0.0
wco2+wh2o·,0.001220703125,0.0
wco2+wh2o·,0.0006103515625,0.0
wco2+wh2o·,0.00030517578125,0.0
wco2+wh2o·,0.000152587890625,0.0
wco2+wh2o·,7.62939453125e-05,0.0
wco2+wh2o·,3.814697265625e-05,0.0
wco2+wh2o·,5.0,0.0
wco2+wh2o·,2.5,0.0
wco2+wh2o·,1.25,0.0
wco2+wh2o·,0.625,0.0
wco2+wh2o·,0.3125,0.0
wco2+wh2o·,0.15625,0.0
wco2+wh2o·,0.078125,0.0
wco2+wh2o·,0.0390625,0.0
wco2+wh2o·_qc,,0.00022222222222222223
wco2-wh2o+,,-0.3658863892586049
wco2-wh2o+,10.0,-0.0004987210537039418
wco2-wh2o+,0.01953125,-0.03739244062760374
wco2-wh2o+,0.009765625,-0.013727297808025974
wco2-wh2o+,0.0048828125,-0.012578258121474459
wco2-wh2o+,0.00244140625,-0.055812980457767614
wco2-wh2o+,0.001220703125,-0.016140367553736722
wco2-wh2o+,0.0006103515625,-0.000128153260354665
wco2-wh2o+,0.00030517578125,0.0
wco2-wh2o+,0.000152587890625,-9.148953414260965e-08
wco2-wh2o+,7.62939453125e-05,-2.61251868829517e-05
wco2-wh2o+,3.814697265625e-05,0.0
wco2-wh2o+,5.0,-0.0008626456248020819
wco2-wh2o+,2.5,-0.0042250349244560845
wco2-wh2o+,1.25,-0.01305758012512306
wco2-wh2o+,0.625,-0.027992137510430292
wco2-wh2o+,0.3125,-0.05333015183795356
wco2-wh2o+,0.15625,-0.03875262754124955
wco2-wh2o+,0.078125,-0.051508557323904164
wco2-wh2o+,0.0390625,-0.03987943548801898
wco2-wh2o+_qc,,0.00022222222222222223
wco2-wh2o-,,-0.00720727303534797
wco2-wh2o-,10.0,-0.0005898504942605011
wco2-wh2o-,0.01953125,-6.503406103868591e-05
wco2-wh2o-,0.009765625,-0.00013600868645906956
wco2-wh2o-,0.0048828125,-3.562997021832266e-05
wco2-wh2o-,0.00244140625,-8.578998236806495e-06
wco2-wh2o-,0.001220703125,0.0
wco2-wh2o-,0.0006103515625,-0.0009745031058896358
wco2-wh2o-,0.00030517578125,-5.57250661061089e-06
wco2-wh2o-,0.000152587890625,0.0
wco2-wh2o-,7.62939453125e-05,0.0
wco2-wh2o-,3.814697265625e-05,0.0
wco2-wh2o-,5.0,-0.001891910193400403
wco2-wh2o-,2.5,-0.001471051862196805
wco2-wh2o-,1.25,-0.0004330327605877675
wco2-wh2o-,0.625,-0.00022198344482825591
wco2-wh2o-,0.3125,-0.0004278148200952582
wco2-wh2o-,0.15625,-0.000491357995208263
wco2-wh2o-,0.078125,-0.00035765410832865497
wco2-wh2o-,0.0390625,-0.0001028625345995411
wco2-wh2o-_qc,,0.00022222222222222223
wco2-wh2o·,,0.0
wco2-wh2o·,10.0,0.0
wco2-wh2o·,0.01953125,0.0
wco2-wh2o·,0.009765625,0.0
wco2-wh2o·,0.0048828125,0.0
wco2-wh2o·,0.00244140625,0.0
wco2-wh2o·,0.001220703125,0.0
wco2-wh2o·,0.0006103515625,0.0
wco2-wh2o·,0.00030517578125,0.0
wco2-wh2o·,0.000152587890625,0.0
wco2-wh2o·,7.62939453125e-05,0.0
wco2-wh2o·,3.814697265625e-05,0.0
wco2-wh2o·,5.0,0.0
wco2-wh2o·,2.5,0.0
wco2-wh2o·,1.25,0.0
wco2-wh2o·,0.625,0.0
wco2-wh2o·,0.3125,0.0
wco2-wh2o·,0.15625,0.0
wco2-wh2o·,0.078125,0.0
wco2-wh2o·,0.0390625,0.0
wco2-wh2o·_qc,,0.00022222222222222223
wco2,10.0,-4.3468758820709946e-05
wco2,0.01953125,-0.030699039068587442
wco2,0.009765625,-0.0033629404415676297
wco2,0.0048828125,-0.0009569262820599095
wco2,0.00244140625,-0.0532995413995131
wco2,0.001220703125,-0.007907736264411224
wco2,0.0006103515625,0.0010300873975517082
wco2,0.00030517578125,0.001934252501924259
wco2,0.000152587890625,0.0018837482436709105
wco2,7.62939453125e-05,0.0005171125760699353
wco2,3.814697265625e-05,0.1201691891358798
wco2,5.0,8.584971107673529e-05
wco2,2.5,0.0022186591758135655
wco2,1.25,-0.000142557997848519
wco2,0.625,-0.01284304333961462
wco2,0.3125,-0.04398481360889135
wco2,0.15625,-0.02989541298063563
wco2,0.078125,-0.04554018554339751
wco2,0.0390625,-0.03419467468432967
wco2_qc,,0.00022222222222222223
wco2·,,0.0
wco2·,10.0,0.0
wco2·,0.01953125,0.0
wco2·,0.009765625,0.0
wco2·,0.0048828125,0.0
wco2·,0.00244140625,0.0
wco2·,0.001220703125,0.0
wco2·,0.0006103515625,0.0
wco2·,0.00030517578125,0.0
wco2·,0.000152587890625,0.0
wco2·,7.62939453125e-05,0.0
wco2·,3.814697265625e-05,0.0
wco2·,5.0,0.0
wco2·,2.5,0.0
wco2·,1.25,0.0
wco2·,0.625,0.0
wco2·,0.3125,0.0
wco2·,0.15625,0.0
wco2·,0.078125,0.0
wco2·,0.0390625,0.0
wco2·_qc,,0.00022222222222222223
wco2·wh2o+,,0.0
wco2·wh2o+,10.0,0.0
wco2·wh2o+,0.01953125,0.0
wco2·wh2o+,0.009765625,0.0
wco2·wh2o+,0.0048828125,0.0
wco2·wh2o+,0.00244140625,0.0
wco2·wh2o+,0.001220703125,0.0
wco2·wh2o+,0.0006103515625,0.0
wco2·wh2o+,0.00030517578125,0.0
wco2·wh2o+,0.000152587890625,0.0
wco2·wh2o+,7.62939453125e-05,0.0
wco2·wh2o+,3.814697265625e-05,0.0
wco2·wh2o+,5.0,0.0
wco2·wh2o+,2.5,0.0
wco2·wh2o+,1.25,0.0
wco2·wh2o+,0.625,0.0
wco2·wh2o+,0.3125,0.0
wco2·wh2o+,0.15625,0.0
wco2·wh2o+,0.078125,0.0
wco2·wh2o+,0.0390625,0.0
wco2·wh2o+_qc,,0.00022222222222222223
wco2·wh2o-,,0.0
wco2·wh2o-,10.0,0.0
wco2·wh2o-,0.01953125,0.0
wco2·wh2o-,0.009765625,0.0
wco2·wh2o-,0.0048828125,0.0
wco2·wh2o-,0.00244140625,0.0
wco2·wh2o-,0.001220703125,0.0
wco2·wh2o-,0.0006103515625,0.0
wco2·wh2o-,0.00030517578125,0.0
wco2·wh2o-,0.000152587890625,0.0
wco2·wh2o-,7.62939453125e-05,0.0
wco2·wh2o-,3.814697265625e-05,0.0
wco2·wh2o-,5.0,0.0
wco2·wh2o-,2.5,0.0
wco2·wh2o-,1.25,0.0
wco2·wh2o-,0.625,0.0
wco2·wh2o-,0.3125,0.0
wco2·wh2o-,0.15625,0.0
wco2·wh2o-,0.078125,0.0
wco2·wh2o-,0.0390625,0.0
wco2·wh2o-_qc,,0.00022222222222222223
wco2·wh2o·,,0.0
wco2·wh2o·,10.0,0.0
wco2·wh2o·,0.01953125,0.0
wco2·wh2o·,0.009765625,0.0
wco2·wh2o·,0.0048828125,0.0
wco2·wh2o·,0.00244140625,0.0
wco2·wh2o·,0.001220703125,0.0
wco2·wh2o·,0.0006103515625,0.0
wco2·wh2o·,0.00030517578125,0.0
wco2·wh2o·,0.000152587890625,0.0
wco2·wh2o·,7.62939453125e-05,0.0
wco2·wh2o·,3.814697265625e-05,0.0
wco2·wh2o·,5.0,0.0
wco2·wh2o·,2.5,0.0
wco2·wh2o·,1.25,0.0
wco2·wh2o·,0.625,0.0
wco2·wh2o·,0.3125,0.0
wco2·wh2o·,0.15625,0.0
wco2·wh2o·,0.078125,0.0
wco2·wh2o·,0.0390625,0.0
wco2·wh2o·_qc,,0.00022222222222222223
co2D_var,,17.34031792691046
co2D_var_qc,,0.9997777777777778
co2T_var,,158092.6987883088
co2T_var_qc,,0.9997777777777778
co2_nfb,,
co2_var,,373.8959038239093
co2_var_qc,,0.9997777777777778
h2oD_var,,0.8994747411106817
