wavelet_based_(co)spectra
--------------------------------------------------------------
TIMESTAMP_START = 2022-05-15 19:00:00
TIMESTAMP_END = 2022-05-15 19:29:59.950000
N: 36000
TIME_BUFFER [min] = 495.0
frequency [Hz]
y-axis_->_wavelet_coefficient_*_
mother_wavelet -> dwt
acquisition_frequency [Hz] = 20.0
averaging_interval [Min] = 30
variable,natural_frequency,value
co2D_var,,7.275865515446039
co2D_var_qc,,0.9998888888888889
co2T_var,,165491.32907378025
co2T_var_qc,,0.9998888888888889
co2_nfb,,
co2_var,,92.56098206258513
co2_var_qc,,0.9998888888888889
h2oD_var,,0.30119927343830005
h2oD_var_qc,,0.9996944444444444
h2oT_var,,179.7490758667373
h2oT_var_qc,,0.9996944444444444
h2o_nfb,,
h2o_var,,5.33478477264768
h2o_var_qc,,0.9996944444444444
w/co2D_cov,,0.16944852814782135
w/co2D_cov_qc,,0.00011111111111111112
w/co2T_cov,,0.03757555772574032
w/co2T_cov_qc,,0.00011111111111111112
w/co2_cov,,0.20495610102819511
w/co2_cov_qc,,0.00011111111111111112
wD/co2D_cov,,0.16479068566138677
wD/co2D_cov_qc,,0.00011111111111111112
wD/co2_cov,,0.12391693383938686
wD/co2_cov_qc,,0.00011111111111111112
wD_var,,0.149736648141411
wD_var_qc,,1.0
wT/co2T_cov,,-4.578229698523819
wT/co2T_cov_qc,,0.00011111111111111112
wT/co2_cov,,0.08103650059400512
wT/co2_cov_qc,,0.00011111111111111112
wT_var,,0.00015996480865325483
wT_var_qc,,1.0
w_nfb,,
w_var,,0.1493136417152803
w_var_qc,,1.0
wco2,,0.1509196250554133
wco2+wh2o+,,0.16019308016912534
wco2+wh2o+,10.0,0.0013881387799043663
wco2+wh2o+,0.01953125,0.006084202719296883
wco2+wh2o+,0.009765625,0.0037655372841589123
wco2+wh2o+,0.0048828125,0.003450366843999695
wco2+wh2o+,0.00244140625,0.0010533786961248722
wco2+wh2o+,0.001220703125,0.001106124047755656
wco2+wh2o+,0.0006103515625,0.001913818009332623
wco2+wh2o+,0.00030517578125,0.0004603214253673917
wco2+wh2o+,0.000152587890625,0.0
wco2+wh2o+,7.62939453125e-05,0.0
