TIMESTAMP,NEE,GPP,Reco
2022-05-13 00:00:00,0.0335607884481766,-0.0238762669073719,0.0574370553555485
2022-05-13 00:30:00,0.0109271682792347,-0.02217505792011785,0.033102226199352554
2022-05-13 01:00:00,0.0101900694420321,-0.01112302152650935,0.021313090968541448
2022-05-13 01:30:00,0.0039563034186689,-0.0052858929112933,0.009242196329962201
2022-05-13 02:00:00,0.0025580448240239,-0.01629083852880745,0.01884888335283135
2022-05-13 02:30:00,-0.0069500065897135,-0.0159099932990143,0.0089599867093008
2022-05-13 03:00:00,-0.0189920308002387,-0.02125495890785825,0.0022629281076195495
2022-05-13 03:30:00,0.0529427490485733,-0.039715860761457444,0.09265860981003074
2022-05-13 04:00:00,0.0290670196456381,-0.041403068234438505,0.07047008788007661
2022-05-13 04:30:00,0.0608807526553598,-0.045534457262596,0.1064152099179558
2022-05-13 05:00:00,-0.048556233823495,-0.0759963725869352,0.027440138763440203
2022-05-13 05:30:00,-0.0548439038189451,-0.0929588225767857,0.0381149187578406
2022-05-13 06:00:00,-0.0007981109538598,-0.06528529899355485,0.06448718803969505
2022-05-13 06:30:00,-0.3333159699440583,-0.36079545543161623,0.02747948548755791
2022-05-13 07:00:00,-0.2646829126677843,-0.3336023194154824,0.06891940674769809
2022-05-13 07:30:00,-0.3166642398239617,-0.3780603475372941,0.061396107713332426
2022-05-13 08:00:00,-0.3098936293597498,-0.36300168337249117,0.05310805401274138
2022-05-13 08:30:00,-0.4269483651158142,-0.4895489561974191,0.06260059108160493
2022-05-13 09:00:00,-0.4899167771911998,-0.5612258017019819,0.07130902451078208
2022-05-13 09:30:00,-0.4392321132655802,-0.504469796589737,0.0652376833241568
2022-05-13 10:00:00,-0.5499092351410769,-0.6230863432540655,0.07317710811298861
2022-05-13 10:30:00,-0.6673806509560124,-0.7527418012247324,0.08536115026872004
2022-05-13 11:00:00,-0.6766688218836436,-0.7952041621927083,0.11853534030906465
2022-05-13 11:30:00,-0.6839768605879355,-0.8052685471231354,0.12129168653519995
2022-05-13 12:00:00,-0.8129843553053107,-0.9234088905828571,0.11042453527754648
2022-05-13 12:30:00,-0.7027566544698853,-0.8075778769016115,0.1048212224317262
2022-05-13 13:00:00,-0.6676610703784538,-0.77211204542952,0.10445097505106626
2022-05-13 13:30:00,-0.6528150465797053,-0.7753730374024593,0.12255799082275398
2022-05-13 14:00:00,-0.6344113352120572,-0.7678378183119839,0.13342648309992677
2022-05-13 14:30:00,-0.621874091484734,-0.7252960136265232,0.10342192214178914
2022-05-13 15:00:00,-0.5456073631627056,-0.6528137089812764,0.1072063458185708
2022-05-13 15:30:00,-0.5252983126436281,-0.6039351422083711,0.07863682956474294
2022-05-13 16:00:00,-0.4604616410307094,-0.5487394428397718,0.08827780180906242
2022-05-13 16:30:00,-0.3595181512829652,-0.43374003289944874,0.07422188161648352
2022-05-13 17:00:00,-0.3628804766697955,-0.43135403198287514,0.06847355531307964
2022-05-13 17:30:00,-0.2411075097977064,-0.3075761443324561,0.06646863453474972
2022-05-13 18:00:00,-0.1980324127920686,-0.250946820582889,0.05291440779082038
2022-05-13 18:30:00,-0.173497340990076,-0.21630152440544825,0.04280418341537226
2022-05-13 19:00:00,-0.0718119255912503,-0.10030440797363434,0.02849248238238404
2022-05-13 19:30:00,-0.0328244528084413,-0.053723127715248196,0.0208986749068069
2022-05-13 20:00:00,-0.0034248892536039,-0.01010544241963005,0.00668055316602615
2022-05-13 20:30:00,0.0133689647057823,-0.0113435095189288,0.024712474224711102
2022-05-13 21:00:00,0.0352737580908943,-0.02882359025367895,0.06409734834457326
2022-05-13 21:30:00,-0.0021620222386611,-0.01239293967993965,0.010230917441278551
2022-05-13 22:00:00,-0.0186521903024891,-0.01414438831008085,-0.004507801992408248
2022-05-13 22:30:00,0.0326096969868212,-0.0379462975394051,0.0705559945262263
2022-05-13 23:00:00,0.1278260911139324,-0.0541428618783479,0.1819689529922803
2022-05-13 23:30:00,0.1253431957495857,-0.05898767312812965,0.18433086887771533
2022-05-14 00:00:00,0.1131263536146566,-0.0599473829822229,0.1730737365968795
2022-05-14 00:30:00,0.0383955242561063,-0.04666725202692534,0.08506277628303165
2022-05-14 01:00:00,0.0046534701619055,-0.00253043886316865,0.00718390902507415
2022-05-14 01:30:00,0.006501538982612,-0.00482212026839575,0.011323659251007749
2022-05-14 02:00:00,0.0019420882948806,-0.0037344147695165504,0.00567650306439715
2022-05-14 02:30:00,0.103603180186195,-0.0562476109408422,0.1598507911270372
2022-05-14 03:00:00,0.0847486029829513,-0.07077418915003231,0.1555227921329836
2022-05-14 03:30:00,0.1550998568947414,-0.06515398962521125,0.22025384651995267
