filename,date,time,DOY,latitude,longitude,altitude,canopy_height,displacement_height,roughness_length,file_length,acquisition_frequency,master_sonic_manufacturer,master_sonic_model,master_sonic_height,master_sonic_wformat,master_sonic_wref,master_sonic_north_offset,master_sonic_hpath_length,master_sonic_vpath_length,master_sonic_tau,co2_irga_manufacturer,co2_irga_model,co2_measure_type,co2_irga_northward_separation,co2_irga_eastward_separation,co2_irga_vertical_separation,co2_irga_tube_length,co2_irga_tube_diameter,co2_irga_tube_flowrate,co2_irga_kw,co2_irga_ko,co2_irga_hpath_length,co2_irga_vpath_length,co2_irga_tau,h2o_irga_manufacturer,h2o_irga_model,h2o_measure_type,h2o_irga_northward_separation,h2o_irga_eastward_separation,h2o_irga_vertical_separation,h2o_irga_tube_length,h2o_irga_tube_diameter,h2o_irga_tube_flowrate,h2o_irga_kw,h2o_irga_ko,h2o_irga_hpath_length,h2o_irga_vpath_length,h2o_irga_tau
FR-Gri_EC_202205130000_L05_F01.csv,2022-05-13,00:30,133.0208,48.844242999999999,1.9519200000000001,125.00000000000000,7.0000000000000007E-002,4.6900000000000004E-002,1.0500000000000001E-002,30.000000000000000,20.000000000000000,gill,hs_50_1,2.0000000000000000,uvw,spar,250.00000000000000,11.000000000000000,12.500000000000000,2.0000000000000000E-002,licor,li7200_1,mixing_ratio,-3.0000000000000000,17.000000000000000,1.0000000000000000,71.099999999999994,5.2999999999999998,12.819374354536798,-9999.0000000000000,-9999.0000000000000,1.2700000000000000,12.699999999999999,0.10000000000000001,licor,li7200_1,mixing_ratio,-3.0000000000000000,17.000000000000000,1.0000000000000000,71.099999999999994,5.2999999999999998,12.819374354536798,-9999.0000000000000,-9999.0000000000000,1.2700000000000000,12.699999999999999,0.10000000000000001
FR-Gri_EC_202205130030_L05_F01.csv,2022-05-13,01:00,133.0416,48.844242999999999,1.9519200000000001,125.00000000000000,7.0000000000000007E-002,4.6900000000000004E-002,1.0500000000000001E-002,30.000000000000000,20.000000000000000,gill,hs_50_1,2.0000000000000000,uvw,spar,250.00000000000000,11.000000000000000,12.500000000000000,2.0000000000000000E-002,licor,li7200_1,mixing_ratio,-3.0000000000000000,17.000000000000000,1.0000000000000000,71.099999999999994,5.2999999999999998,12.827374268478399,-9999.0000000000000,-9999.0000000000000,1.2700000000000000,12.699999999999999,0.10000000000000001,licor,li7200_1,mixing_ratio,-3.0000000000000000,17.000000000000000,1.0000000000000000,71.099999999999994,5.2999999999999998,12.827374268478399,-9999.0000000000000,-9999.0000000000000,1.2700000000000000,12.699999999999999,0.10000000000000001
FR-Gri_EC_202205130100_L05_F01.csv,2022-05-13,01:30,133.0624,48.844242999999999,1.9519200000000001,125.00000000000000,7.0000000000000007E-002,4.6900000000000004E-002,1.0500000000000001E-002,30.000000000000000,20.000000000000000,gill,hs_50_1,2.0000000000000000,uvw,spar,250.00000000000000,11.000000000000000,12.500000000000000,2.0000000000000000E-002,licor,li7200_1,mixing_ratio,-3.0000000000000000,17.000000000000000,1.0000000000000000,71.099999999999994,5.2999999999999998,12.801533530243134,-9999.0000000000000,-9999.0000000000000,1.2700000000000000,12.699999999999999,0.10000000000000001,licor,li7200_1,mixing_ratio,-3.0000000000000000,17.000000000000000,1.0000000000000000,71.099999999999994,5.2999999999999998,12.801533530243134,-9999.0000000000000,-9999.0000000000000,1.2700000000000000,12.699999999999999,0.10000000000000001
FR-Gri_EC_202205130130_L05_F01.csv,2022-05-13,02:00,133.0833,48.844242999999999,1.9519200000000001,125.00000000000000,7.0000000000000007E-002,4.6900000000000004E-002,1.0500000000000001E-002,30.000000000000000,20.000000000000000,gill,hs_50_1,2.0000000000000000,uvw,spar,250.00000000000000,11.000000000000000,12.500000000000000,2.0000000000000000E-002,licor,li7200_1,mixing_ratio,-3.0000000000000000,17.000000000000000,1.0000000000000000,71.099999999999994,5.2999999999999998,12.804131541658229,-9999.0000000000000,-9999.0000000000000,1.2700000000000000,12.699999999999999,0.10000000000000001,licor,li7200_1,mixing_ratio,-3.0000000000000000,17.000000000000000,1.0000000000000000,71.099999999999994,5.2999999999999998,12.804131541658229,-9999.0000000000000,-9999.0000000000000,1.2700000000000000,12.699999999999999,0.10000000000000001
FR-Gri_EC_202205130200_L05_F01.csv,2022-05-13,02:30,133.1041,48.844242999999999,1.9519200000000001,125.00000000000000,7.0000000000000007E-002,4.6900000000000004E-002,1.0500000000000001E-002,30.000000000000000,20.000000000000000,gill,hs_50_1,2.0000000000000000,uvw,spar,250.00000000000000,11.000000000000000,12.500000000000000,2.0000000000000000E-002,licor,li7200_1,mixing_ratio,-3.0000000000000000,17.000000000000000,1.0000000000000000,71.099999999999994,5.2999999999999998,12.764175599877495,-9999.0000000000000,-9999.0000000000000,1.2700000000000000,12.699999999999999,0.10000000000000001,licor,li7200_1,mixing_ratio,-3.0000000000000000,17.000000000000000,1.0000000000000000,71.099999999999994,5.2999999999999998,12.764175599877495,-9999.0000000000000,-9999.0000000000000,1.2700000000000000,12.699999999999999,0.10000000000000001
FR-Gri_EC_202205130230_L05_F01.csv,2022-05-13,03:00,133.1249,48.844242999999999,1.9519200000000001,125.00000000000000,7.0000000000000007E-002,4.6900000000000004E-002,1.0500000000000001E-002,30.000000000000000,20.000000000000000,gill,hs_50_1,2.0000000000000000,uvw,spar,250.00000000000000,11.000000000000000,12.500000000000000,2.0000000000000000E-002,licor,li7200_1,mixing_ratio,-3.0000000000000000,17.000000000000000,1.0000000000000000,71.099999999999994,5.2999999999999998,12.761053367503337,-9999.0000000000000,-9999.0000000000000,1.2700000000000000,12.699999999999999,0.10000000000000001,licor,li7200_1,mixing_ratio,-3.0000000000000000,17.000000000000000,1.0000000000000000,71.099999999999994,5.2999999999999998,12.761053367503337,-9999.0000000000000,-9999.0000000000000,1.2700000000000000,12.699999999999999,0.10000000000000001
FR-Gri_EC_202205130300_L05_F01.csv,2022-05-13,03:30,133.1458,48.844242999999999,1.9519200000000001,125.00000000000000,7.0000000000000007E-002,4.6900000000000004E-002,1.0500000000000001E-002,30.000000000000000,20.000000000000000,gill,hs_50_1,2.0000000000000000,uvw,spar,250.00000000000000,11.000000000000000,12.500000000000000,2.0000000000000000E-002,licor,li7200_1,mixing_ratio,-3.0000000000000000,17.000000000000000,1.0000000000000000,71.099999999999994,5.2999999999999998,12.782972735949432,-9999.0000000000000,-9999.0000000000000,1.2700000000000000,12.699999999999999,0.10000000000000001,licor,li7200_1,mixing_ratio,-3.0000000000000000,17.000000000000000,1.0000000000000000,71.099999999999994,5.2999999999999998,12.782972735949432,-9999.0000000000000,-9999.0000000000000,1.2700000000000000,12.699999999999999,0.10000000000000001
FR-Gri_EC_202205130330_L05_F01.csv,2022-05-13,04:00,133.1666,48.844242999999999,1.9519200000000001,125.00000000000000,7.0000000000000007E-002,4.6900000000000004E-002,1.0500000000000001E-002,30.000000000000000,20.000000000000000,gill,hs_50_1,2.0000000000000000,uvw,spar,250.00000000000000,11.000000000000000,12.500000000000000,2.0000000000000000E-002,licor,li7200_1,mixing_ratio,-3.0000000000000000,17.000000000000000,1.0000000000000000,71.099999999999994,5.2999999999999998,12.773651276123317,-9999.0000000000000,-9999.0000000000000,1.2700000000000000,12.699999999999999,0.10000000000000001,licor,li7200_1,mixing_ratio,-3.0000000000000000,17.000000000000000,1.0000000000000000,71.099999999999994,5.2999999999999998,12.773651276123317,-9999.0000000000000,-9999.0000000000000,1.2700000000000000,12.699999999999999,0.10000000000000001
FR-Gri_EC_202205130400_L05_F01.csv,2022-05-13,04:30,133.1874,48.844242999999999,1.9519200000000001,125.00000000000000,7.0000000000000007E-002,4.6900000000000004E-002,1.0500000000000001E-002,30.000000000000000,20.000000000000000,gill,hs_50_1,2.0000000000000000,uvw,spar,250.00000000000000,11.000000000000000,12.500000000000000,2.0000000000000000E-002,licor,li7200_1,mixing_ratio,-3.0000000000000000,17.000000000000000,1.0000000000000000,71.099999999999994,5.2999999999999998,12.719505717250282,-9999.0000000000000,-9999.0000000000000,1.2700000000000000,12.699999999999999,0.10000000000000001,licor,li7200_1,mixing_ratio,-3.0000000000000000,17.000000000000000,1.0000000000000000,71.099999999999994,5.2999999999999998,12.719505717250282,-9999.0000000000000,-9999.0000000000000,1.2700000000000000,12.699999999999999,0.10000000000000001
FR-Gri_EC_202205130430_L05_F01.csv,2022-05-13,05:00,133.2083,48.844242999999999,1.9519200000000001,125.00000000000000,7.0000000000000007E-002,4.6900000000000004E-002,1.0500000000000001E-002,30.000000000000000,20.000000000000000,gill,hs_50_1,2.0000000000000000,uvw,spar,250.00000000000000,11.000000000000000,12.500000000000000,2.0000000000000000E-002,licor,li7200_1,mixing_ratio,-3.0000000000000000,17.000000000000000,1.0000000000000000,71.099999999999994,5.2999999999999998,12.649559962471068,-9999.0000000000000,-9999.0000000000000,1.2700000000000000,12.699999999999999,0.10000000000000001,licor,li7200_1,mixing_ratio,-3.0000000000000000,17.000000000000000,1.0000000000000000,71.099999999999994,5.2999999999999998,12.649559962471068,-9999.0000000000000,-9999.0000000000000,1.2700000000000000,12.699999999999999,0.10000000000000001
